id,_id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
17,590481173863452abf32c3da,3,2,312,0.0,0.0,5,54102,0,0,-1,1,544.4,0,18,3,0.0,0.0,0,Jack,1.2,45,0,116.8,17,False,308.4,0,0,0,0,1950,Leg injury - Unknown return date,59,0,0,0,54102.jpg,2.1,0,0,Wilshere,0.6,False,32.0,i,2,91,321.0,61,82666,31,80807,773,0.2,10.3,Wilshere,4
18,590481173863452abf32c3db,5,2,348,100.0,100.0,3,81880,0,0,-2,2,463.2,1,186,3,0.7,1.7,0,Alex,1.2,20,2,122.3,18,False,373.6,0,0,0,0,1356,,58,0,0,0,81880.jpg,2.7,0,0,Oxlade-Chamberlain,1.3,False,15.0,a,1,3,383.0,70,124485,3008,157875,624,0.2,12.1,Chamberlain,1
19,590481173863452abf32c3dc,0,0,0,0.0,0.0,0,133798,0,0,0,0,0.0,0,4,3,0.0,0.0,0,Serge,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Joined Werder Bremen on 31/8,50,0,0,0,133798.jpg,0.0,0,0,Gnabry,0.0,False,27.0,u,1,3,0.0,0,384,1,1039,7,0.0,0.0,Gnabry,0
20,590481173863452abf32c3dd,1,1,278,100.0,100.0,5,56864,0,0,-3,3,289.4,0,246,3,0.5,1.5,3,Francis,1.0,26,0,67.8,20,False,273.6,0,0,0,0,1643,,42,0,0,0,56864.jpg,1.9,0,0,Coquelin,1.9,False,34.0,a,1,3,113.0,47,151686,1212,177249,1330,0.2,11.2,Coquelin,5
21,590481173863452abf32c3de,5,8,345,100.0,100.0,9,153133,-1,1,-7,7,453.6,1,150,3,-0.3,0.7,0,Alex,0.2,20,3,129.5,21,False,311.2,0,0,0,0,1411,,53,0,0,0,153133.jpg,3.6,0,0,Iwobi,1.2,False,17.0,a,1,3,530.0,87,258330,418,274042,2494,0.0,16.4,Iwobi,1
22,590481173863452abf32c3df,1,0,133,100.0,100.0,3,153256,0,0,-5,5,108.6,0,134,3,0.3,1.3,0,Mohamed,0.8,9,0,31.1,22,False,89.0,0,0,0,0,694,,45,0,0,0,153256.jpg,1.9,0,0,Elneny,0.4,False,35.0,a,1,3,116.0,26,10910,51,32978,85,0.2,5.8,Elneny,1
23,590481173863452abf32c3e0,0,0,0,0.0,0.0,0,99127,0,0,-1,1,0.0,0,175,3,0.0,0.0,0,Joel,0.0,0,0,0.0,23,False,0.0,0,0,0,0,0,Joined Sporting Lisbon in season-long loan deal,59,0,0,0,99127.jpg,0.0,0,0,Campbell,0.0,False,28.0,u,1,3,0.0,0,507,7,5116,14,0.0,0.0,Campbell,0
24,590481173863452abf32c3e1,3,4,394,100.0,100.0,7,84450,0,0,-3,3,495.9,0,0,3,2.3,3.3,2,Granit,2.8,28,1,102.7,24,False,385.4,0,0,0,0,2013,,52,0,0,0,84450.jpg,2.4,2,0,Xhaka,2.5,False,29.0,a,1,3,146.0,62,96524,2119,264269,668,0.5,11.9,Xhaka,5
25,590481173863452abf32c3e2,4,13,329,100.0,100.0,3,44346,-1,1,-10,10,186.5,2,629,4,1.5,2.5,1,Olivier,2.0,13,9,117.2,25,False,398.0,0,0,0,0,941,,80,0,0,0,44346.jpg,3.8,0,0,Giroud,2.5,False,12.0,a,1,3,593.0,90,724552,3587,712798,5044,0.3,11.1,Giroud,1
26,590481173863452abf32c3e3,0,0,54,100.0,75.0,1,50175,0,0,-2,2,51.7,0,164,4,0.7,1.3,1,Danny,1.2,10,1,23.1,26,False,55.6,0,0,0,0,440,,73,0,0,0,50175.jpg,1.8,0,0,Welbeck,0.3,False,23.0,a,1,3,125.0,18,38672,793,35054,1241,0.2,2.5,Welbeck,0
27,590481173863452abf32c3e4,0,0,0,100.0,100.0,0,80711,0,0,-4,4,0.0,0,0,4,-0.5,0.5,0,Yaya,0.0,0,0,0.0,27,False,0.0,0,0,0,0,0,,46,0,0,0,80711.jpg,0.0,0,0,Sanogo,0.1,False,22.0,a,1,3,0.0,0,3687,36,9376,27,0.0,0.0,Sanogo,0
28,590481173863452abf32c3e5,0,0,0,0.0,0.0,0,154998,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Takuma,0.0,0,0,0.0,28,False,0.0,0,0,0,0,0,Awaiting work permit,49,0,0,0,154998.jpg,0.0,0,0,Asano,0.0,False,,u,1,3,0.0,0,660,5,4486,7,0.0,0.0,Asano,0
29,590481173863452abf32c3e6,0,7,604,100.0,100.0,8,18726,0,0,0,0,0.0,2,281,1,4.6,4.6,6,Artur,4.6,60,0,75.3,29,False,755.0,0,0,0,0,2880,,45,0,0,2,18726.jpg,3.4,0,106,Boruc,6.3,False,1.0,a,2,91,0.0,110,295785,13622,260935,2794,1.0,24.4,Boruc,2
30,590481173863452abf32c3e7,0,1,37,0.0,0.0,1,15885,0,0,-1,1,0.0,0,31,1,0.0,0.0,0,Adam,0.0,3,0,3.5,30,False,34.4,0,0,0,0,180,Knee injury - Unknown return date,44,0,0,0,15885.jpg,4.0,0,5,Federici,0.1,False,23.0,i,2,91,0.0,8,2170,9,4221,26,0.0,1.8,Federici,1
31,590481173863452abf32c3e8,1,5,559,100.0,100.0,9,15149,0,0,0,0,289.1,1,462,2,2.8,2.8,6,Simon,2.8,50,0,103.7,31,False,617.2,0,0,0,0,2578,,45,0,0,0,15149.jpg,2.6,1,0,Francis,1.3,False,2.0,a,2,91,127.0,77,167663,1693,172505,713,0.6,17.1,Francis,3
32,590481173863452abf32c3e9,0,17,698,100.0,100.0,9,56917,0,0,-2,2,60.9,1,443,2,3.6,3.6,6,Steve,3.6,63,2,146.7,32,False,1028.0,0,0,0,0,3060,,48,1,0,0,56917.jpg,3.0,0,0,Cook,3.0,False,3.0,a,2,91,376.0,101,230370,11110,144457,1861,0.8,21.0,Cook,5
33,590481173863452abf32c3ea,3,14,630,100.0,100.0,9,41320,1,-1,2,-2,498.0,5,491,2,4.4,4.4,14,Charlie,4.4,49,4,143.2,33,False,648.4,0,0,0,0,2700,,52,0,0,0,41320.jpg,4.1,0,0,Daniels,9.6,False,11.0,a,2,91,285.0,123,809434,47120,599894,2924,0.8,24.1,Daniels,1
34,590481173863452abf32c3eb,4,7,549,100.0,100.0,7,54469,0,0,0,0,405.6,1,297,2,2.6,2.6,6,Adam,2.6,57,1,109.8,34,False,470.2,0,0,0,0,2741,,45,1,0,0,54469.jpg,2.7,0,0,Smith,6.5,False,15.0,a,2,91,220.0,85,655472,8468,512416,3347,0.6,18.9,Smith,6
35,590481173863452abf32c3ec,0,2,89,100.0,100.0,0,149484,0,0,0,0,18.3,0,1,2,0.0,0.0,0,Tyrone,0.0,16,0,18.9,35,False,125.4,0,0,0,0,506,,45,2,0,0,149484.jpg,0.6,0,0,Mings,0.0,False,26.0,a,2,91,45.0,4,1797,31,2168,20,0.0,0.9,Mings,0
36,590481173863452abf32c3ed,0,8,236,100.0,100.0,3,126184,0,0,-7,7,43.9,2,232,2,0.5,1.0,0,Nathan,0.0,17,3,53.0,36,False,342.2,0,0,0,0,735,,38,0,0,0,126184.jpg,5.1,0,0,Aké,5.0,False,6.0,a,4,8,144.0,51,580714,9561,472066,6873,0.0,13.4,Aké,0
37,590481173863452abf32c3ee,4,6,469,100.0,100.0,7,48615,0,0,0,0,467.7,0,188,3,3.4,3.4,7,Harry,3.4,60,1,124.0,37,False,443.0,0,0,0,0,2696,,50,0,1,0,48615.jpg,2.4,1,0,Arter,0.3,False,8.0,a,2,91,334.0,78,25153,1476,23177,155,0.7,15.6,Arter,9
38,590481173863452abf32c3ef,3,6,186,100.0,100.0,4,20037,0,0,-4,4,226.6,2,245,3,4.6,4.6,14,Marc,4.6,20,2,61.3,38,False,198.2,0,0,0,0,1018,,46,0,0,0,20037.jpg,3.2,0,0,Pugh,0.2,False,7.0,a,2,91,188.0,55,12452,6855,7645,409,1.0,12.0,Pugh,1
39,590481173863452abf32c3f0,1,0,271,0.0,0.0,4,15237,0,0,-4,4,211.3,0,385,3,0.0,0.0,0,Andrew,0.2,37,0,54.5,39,False,245.0,0,0,0,0,1710,Knee injury - Unknown return date,46,0,0,0,15237.jpg,2.0,1,0,Surman,0.1,False,6.0,i,2,91,89.0,42,2512,3,9614,25,0.0,9.1,Surman,1
40,590481173863452abf32c3f1,0,0,0,0.0,0.0,0,80498,0,0,-1,1,0.0,0,84,3,0.0,0.0,0,Eunan,0.0,0,0,0.0,40,False,0.0,0,0,0,0,0,Joined Leeds on 31/8,44,0,0,0,80498.jpg,0.0,0,0,O'Kane,0.3,False,32.0,u,2,91,0.0,0,1472,9,11027,28,0.0,0.0,O'Kane,0
41,590481173863452abf32c3f2,0,0,0,0.0,0.0,0,20669,0,0,0,0,0.0,0,3,3,0.0,0.0,0,Shaun,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Transferred to Wigan,45,0,0,0,20669.jpg,0.0,0,0,MacDonald,0.1,False,16.0,u,2,91,0.0,0,399,3,4189,5,0.0,0.0,MacDonald,0
42,590481173863452abf32c3f3,6,6,285,100.0,100.0,4,56872,0,0,-9,9,337.5,1,217,3,0.6,0.6,1,Junior,0.6,26,4,99.2,42,False,335.4,0,0,0,0,1186,,46,0,0,0,56872.jpg,4.6,0,0,Stanislas,0.8,False,19.0,a,2,91,318.0,78,312508,544,290217,1158,0.1,17.0,Stanislas,1
43,590481173863452abf32c3f4,0,1,229,25.0,75.0,4,40387,0,0,-3,3,167.4,0,331,3,0.2,0.6,1,Dan,0.8,22,2,56.1,43,False,231.0,0,0,0,0,1266,Calf injury - 25% chance of playing,47,0,0,0,40387.jpg,1.8,0,0,Gosling,0.1,False,4.0,d,2,91,161.0,45,8333,7,12702,102,0.2,9.6,Gosling,6
44,590481173863452abf32c3f5,0,0,22,100.0,100.0,0,59741,0,0,-5,5,6.4,0,155,3,0.2,0.2,0,Max,0.2,0,0,7.7,44,False,20.2,0,0,0,0,114,,50,0,0,0,59741.jpg,0.8,0,0,Gradel,0.1,False,10.0,a,2,91,55.0,7,1151,7,13398,7,0.0,1.4,Gradel,2
45,590481173863452abf32c3f6,0,0,0,0.0,0.0,0,122342,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,45,False,0.0,0,0,0,0,0,Joined Rangers on loan from 9/1 until end of the season,44,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22.0,u,2,91,0.0,0,671,1,1351,2,0.0,0.0,Hyndman,0
46,590481173863452abf32c3f7,0,0,128,100.0,100.0,3,103912,0,0,-6,6,266.1,0,184,3,0.6,0.6,0,Jordon,0.6,22,0,60.9,46,False,112.6,0,0,0,0,1011,,49,0,0,0,103912.jpg,1.5,0,0,Ibe,1.1,False,33.0,a,2,91,231.0,33,26152,19,163018,128,0.1,6.7,Ibe,0
47,590481173863452abf32c3f8,1,0,36,100.0,100.0,0,155408,0,0,-3,3,50.8,0,0,3,1.0,1.0,4,Lewis,1.0,4,0,10.9,47,False,47.2,0,0,0,0,162,,42,0,0,0,155408.jpg,2.3,0,0,Cook,0.8,False,18.0,a,2,91,11.0,7,27524,266,36979,394,0.2,1.7,Cook,0
48,590481173863452abf32c3f9,2,12,486,100.0,100.0,8,78007,1,-1,6,-6,370.2,2,321,3,5.8,5.8,8,Joshua,5.8,51,14,195.4,48,False,741.4,0,0,0,0,2444,,61,0,1,0,78007.jpg,4.6,0,0,King,18.0,False,17.0,a,2,91,843.0,153,954216,101001,200302,7188,1.0,25.1,King,1
49,590481173863452abf32c3fa,1,2,170,0.0,0.0,6,75115,0,0,-5,5,125.7,0,165,4,0.0,0.0,0,Callum,0.0,25,6,82.2,49,False,229.0,0,0,0,0,1361,Knee injury - Unknown return date,60,0,0,0,75115.jpg,3.1,0,0,Wilson,1.2,False,13.0,i,2,91,487.0,63,354811,71,425186,331,0.0,10.5,Callum Wilson,0
50,590481173863452abf32c3fb,0,0,0,0.0,0.0,0,126468,0,0,0,0,0.0,0,3,4,0.0,0.0,0,Tokelo,0.0,0,0,0.0,50,False,0.0,0,0,0,0,0,Joined Turkish outfit Genclerbirligi on 26/8,45,0,0,0,126468.jpg,0.0,0,0,Rantie,0.3,False,9.0,u,2,91,0.0,0,2086,12,14429,19,0.0,0.0,Rantie,0
51,590481173863452abf32c3fc,1,0,17,0.0,0.0,0,21246,0,0,-2,2,11.8,0,124,4,0.0,0.0,0,Lewis,0.0,2,0,5.3,51,False,24.2,0,0,0,0,60,Season long loan to Reading,43,0,0,0,21246.jpg,2.0,0,0,Grabban,3.0,False,28.0,u,2,91,17.0,6,193088,92,267050,1750,0.0,1.4,Grabban,0
52,590481173863452abf32c3fd,5,9,254,100.0,100.0,5,88498,1,-1,-4,4,294.8,1,146,4,4.8,4.8,6,Benik,4.8,24,6,122.3,52,False,345.4,0,0,0,0,1373,,56,0,1,0,88498.jpg,3.0,0,0,Afobe,3.2,False,9.0,a,2,91,583.0,86,211731,42828,103910,5459,0.9,15.6,Afobe,1
