,team_code,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,element_type,target,target_minutes,target_home,target_team,bayes_global,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
0,1,1,984.0,49.0,0.0,58.0,13.0,7696,76,70.0,990.0,29.0,377.0,100.8225806451613,,,,,,,,,,,49.0,984.0,13.0,24.5,984.0,49.0,0.0,58.0,13.0
1,1,2,990.0,70.0,29.0,377.0,14.0,7696,76,57.0,991.0,0.0,203.0,100.99193548387098,,,,,,,,,,,59.863756641475895,987.1039304689932,13.517321744832186,40.50000000000001,1974.0,119.0,29.0,435.0,27.0
2,1,3,991.0,57.0,0.0,203.0,14.0,7696,76,19.0,990.0,29.0,290.0,101.06601295210167,58.66666666666668,988.3333333333331,13.666666666666666,,,,,,,,58.842293722513034,988.4936053100697,13.689486492458755,46.083333333333336,2965.0,176.0,29.0,638.0,41.0
3,1,4,990.0,19.0,29.0,290.0,14.0,7696,76,23.0,990.0,0.0,522.0,100.29981168420447,48.666666666666664,990.3333333333334,14.0,,,,,,,,47.8234603848419,988.910215662493,13.775362486760743,41.73333333333333,3955.0,195.0,58.0,928.0,55.0
4,1,5,990.0,23.0,0.0,522.0,14.0,7696,76,63.0,990.0,29.0,232.0,99.59497497679423,33.0,990.3333333333333,13.999999999999998,43.599999999999994,989.0000000000001,13.8,,,,,42.14783263076881,989.1593835921861,13.826723533326405,40.08333333333333,4945.0,218.0,58.0,1450.0,69.0
5,1,6,990.0,63.0,29.0,232.0,14.0,7696,76,35.0,990.0,29.0,406.0,99.81276712297822,35.0,989.9999999999999,14.0,46.39999999999999,990.1999999999999,14.000000000000002,,,,,46.25194284982289,989.3248331748855,13.860827696457477,47.161904761904765,5935.0,281.0,87.0,1682.0,83.0
6,1,7,990.0,35.0,29.0,406.0,14.0,7696,76,49.0,991.0,0.0,261.0,99.45295545875479,40.33333333333332,990.0,13.999999999999998,39.4,990.2,14.000000000000002,,,,,44.291863570618844,989.4424466858653,13.885071398372219,46.65714285714285,6925.0,316.0,116.0,2088.0,97.0
7,1,8,991.0,49.0,0.0,261.0,13.0,7696,76,11.0,990.0,0.0,116.0,99.52205076304747,49.0,990.3333333333334,13.666666666666668,37.8,990.2000000000002,13.799999999999999,,,,,45.03258764642193,989.6874942235548,13.745824436562069,48.50238095238095,7916.0,365.0,116.0,2349.0,110.0
8,1,9,990.0,11.0,0.0,116.0,14.0,7696,76,48.0,967.0,29.0,87.0,98.60190850910415,31.666666666666664,990.3333333333334,13.666666666666666,36.20000000000001,990.2,13.8,,,,,40.12201788148157,989.7325857526833,13.78249948606969,45.25396825396825,8906.0,376.0,116.0,2465.0,124.0
9,1,10,967.0,48.0,29.0,87.0,14.0,7696,76,47.0,989.0,0.0,464.0,98.45846746248661,36.0,982.6666666666667,13.666666666666666,41.2,985.5999999999999,13.800000000000002,42.4,987.3,13.8,47.180757883204414,41.177147671888974,986.6879192277029,13.811630203583928,51.22146464646465,9873.0,424.0,145.0,2552.0,138.0
10,1,11,989.0,47.0,0.0,464.0,13.0,7696,76,40.0,984.0,29.0,29.0,98.37177636552951,35.33333333333333,982.0,13.666666666666664,38.0,985.4,13.600000000000003,42.2,987.8000000000001,13.8,49.0190108454981,41.90807749079345,986.9781496311134,13.709748052999583,54.29361471861472,10862.0,471.0,145.0,3016.0,151.0
11,1,12,984.0,40.0,29.0,29.0,13.0,7696,76,33.0,990.0,29.0,580.0,98.22021027463342,45.0,980.0,13.333333333333332,39.0,984.1999999999999,13.400000000000004,39.20000000000001,987.2,13.7,48.15277520971632,41.68181106872627,986.6249903570986,13.625583676397358,55.73417415917416,11846.0,511.0,174.0,3045.0,164.0
12,1,13,990.0,33.0,29.0,580.0,14.0,7696,76,32.0,990.0,0.0,174.0,97.85317133288204,40.0,987.6666666666666,13.333333333333332,35.800000000000004,983.9999999999999,13.600000000000003,36.8,987.1,13.7,46.02463697028092,40.702823759416404,987.0055666657794,13.667803994981096,55.37820512820514,12836.0,544.0,203.0,3625.0,178.0
13,1,14,990.0,32.0,0.0,174.0,13.0,7696,76,63.0,991.0,29.0,493.0,97.55211078350968,35.0,987.9999999999999,13.333333333333332,39.99999999999999,984.0,13.400000000000002,38.1,987.1000000000001,13.6,47.47876585688839,39.764441182784445,987.3284416481297,13.595797982815514,55.596353646353656,13826.0,576.0,203.0,3799.0,191.0
14,1,15,991.0,63.0,29.0,493.0,14.0,7696,76,41.0,990.0,0.0,145.0,97.90358597867541,42.66666666666667,990.3333333333333,13.666666666666666,43.0,988.8,13.4,42.099999999999994,987.1999999999999,13.6,52.65145249087892,42.171470381046475,987.708787488985,13.6376702728264,59.14422244422244,14817.0,639.0,232.0,4292.0,205.0
15,1,16,990.0,41.0,0.0,145.0,14.0,7696,76,66.0,991.0,0.0,551.0,97.71200864842557,45.33333333333333,990.3333333333333,13.666666666666666,41.8,988.9999999999999,13.6,39.9,987.2,13.600000000000001,49.29326597234995,42.054402522891316,987.9377538765118,13.673878755595094,58.64899944826416,15807.0,680.0,232.0,4437.0,219.0
16,1,17,991.0,66.0,0.0,551.0,14.0,7696,76,57.0,990.0,29.0,435.0,98.11836173296938,56.66666666666668,990.6666666666666,14.0,47.0,990.4000000000001,13.8,42.99999999999999,987.3000000000001,13.6,50.396071295943905,44.3709769757221,988.2340054586546,13.705428778267782,61.13728950787774,16798.0,746.0,232.0,4988.0,233.0
17,1,18,990.0,57.0,29.0,435.0,14.0,7696,76,51.0,990.0,29.0,348.0,98.28917171904519,54.66666666666667,990.3333333333331,14.0,51.800000000000004,990.4,13.8,43.8,987.1999999999999,13.7,46.620089801189295,45.55742162037182,988.3999133647555,13.733102530055255,62.1314543643491,17788.0,803.0,261.0,5423.0,247.0
