web_name,Unnamed: 0,Unnamed: 1,minutes,total_points,was_home,opponent_team,appearances,target_home,gameweek,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean10,minutes_mean10,appearances_mean10,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all,opponent_1,opponent_2,opponent_3,opponent_4,opponent_5,opponent_6,opponent_7,opponent_8,opponent_9,opponent_10,opponent_11,opponent_12,opponent_13,opponent_14,opponent_15,opponent_16,opponent_17,opponent_18,opponent_19,opponent_20,opponent_999,team_1,team_3,team_6,team_8,team_11,team_13,team_14,team_20,team_21,team_25,team_31,team_35,team_43,team_56,team_57,team_80,team_88,team_90,team_91,team_110,position_1,position_2,position_3,position_4,target
Muniesa,321.0,34.0,0.0,0.0,0.0,16.0,0.0,1.0,34.0,0.6666666666666666,30.0,0.3333333333333333,0.4,18.0,0.2,0.8,36.0,0.4,3.375,469.0,27.0,17.0,356.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
Johnson,324.0,34.0,90.0,1.0,0.0,16.0,1.0,1.0,34.0,1.3333333333333333,90.0,1.0,1.2,48.3,0.6,1.0,72.0,0.8,2.333333333333333,1687.0,49.0,17.0,356.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
Whelan,328.0,34.0,0.0,0.0,0.0,16.0,0.0,1.0,34.0,0.3333333333333333,7.666666666666668,0.3333333333333333,1.5,36.5,0.6,0.4,18.4,0.4,1.9629629629629632,1927.0,53.0,17.0,356.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
Arnautovic,330.0,34.0,83.0,0.0,0.0,16.0,1.0,1.0,34.0,4.666666666666667,87.66666666666669,1.0,3.9,77.7,0.9,3.4,88.6,1.0,3.3666666666666667,2454.0,101.0,17.0,356.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
Shaqiri,332.0,34.0,90.0,2.0,0.0,16.0,1.0,1.0,34.0,6.666666666666668,89.0,1.0,2.0,26.7,0.3,4.0,53.4,0.6,3.9444444444444446,1339.0,71.0,17.0,356.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
Pickford,339.0,34.0,90.0,3.0,1.0,2.0,1.0,0.0,34.0,2.0,90.0,1.0,3.2,81.0,0.9,2.4,90.0,1.0,3.3076923076923075,2250.0,86.0,18.0,362.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
O'Shea,341.0,34.0,90.0,2.0,1.0,2.0,1.0,0.0,34.0,1.3333333333333333,90.0,1.0,1.4,67.5,0.8,0.8,54.0,0.6,1.44,1798.0,36.0,18.0,362.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
Jones,342.0,34.0,0.0,0.0,1.0,2.0,0.0,0.0,34.0,0.6666666666666666,59.0,0.6666666666666666,1.2,80.6,0.9,0.8,71.4,0.8,1.6666666666666667,1910.0,40.0,18.0,362.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
van Aanholt,343.0,34.0,0.0,0.0,1.0,17.0,0.0,1.0,34.0,0.6666666666666666,11.666666666666664,0.6666666666666666,2.5,27.2,0.5,0.4,7.0,0.4,3.103448275862069,2236.0,90.0,17.0,369.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Koné,345.0,34.0,90.0,2.0,1.0,2.0,1.0,0.0,34.0,1.0,30.66666666666667,0.6666666666666666,0.8,63.2,0.8,1.0,54.4,0.8,2.1785714285714284,2275.0,61.0,18.0,362.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
