,team_code,element_type,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,target,target_minutes,target_home,target_team,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_mean_all,appearances_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
0,1,1,1,90.0,2.0,0.0,4.0,1.0,485,6.0,90.0,2.0,26.0,,,,,,,,,,,1.0,45.0,0.5,1.0,45.0,0.5,90.0,2.0,0.0,4.0,1.0
1,1,1,2,90.0,6.0,2.0,26.0,1.0,485,6.0,90.0,0.0,14.0,,,,,,,,,,,1.4026203126620742,30.0,0.33333333333333337,2.6666666666666665,60.0,0.6666666666666666,180.0,8.0,2.0,30.0,2.0
2,1,1,3,90.0,6.0,0.0,14.0,1.0,485,2.0,90.0,2.0,20.0,1.166666666666667,22.5,0.25,,,,,,,,1.2579459698350224,22.5,0.25,3.5,67.5,0.75,270.0,14.0,2.0,44.0,3.0
3,1,1,4,90.0,2.0,2.0,20.0,1.0,485,1.0,90.0,0.0,36.0,1.4666666666666668,18.0,0.19999999999999996,,,,,,,,0.7952050692341537,18.0,0.19999999999999996,3.2,72.0,0.8,360.0,16.0,4.0,64.0,4.0
4,1,1,5,90.0,1.0,0.0,36.0,1.0,485,2.0,90.0,2.0,16.0,0.16666666666666652,15.0,0.16666666666666663,0.5666666666666664,15.0,0.16666666666666663,,,,2.4083189157584592,0.4770490417019735,15.0,0.16666666666666663,2.8333333333333335,75.0,0.8333333333333334,450.0,17.0,4.0,100.0,5.0
5,1,1,6,90.0,2.0,2.0,16.0,1.0,485,3.0,90.0,2.0,28.0,-1.0476190476190477,12.857142857142861,0.1428571428571429,0.6857142857142855,12.857142857142861,0.1428571428571429,,,,2.4083189157584592,0.33818804141890846,12.857142857142861,0.1428571428571429,2.7142857142857144,77.14285714285714,0.8571428571428571,540.0,19.0,6.0,116.0,6.0
6,1,1,7,90.0,3.0,2.0,28.0,1.0,485,8.0,90.0,0.0,18.0,-0.75,11.25,0.125,0.04999999999999982,11.25,0.125,,,,1.9235384061671343,0.2933328702032121,11.25,0.125,2.75,78.75,0.875,630.0,22.0,8.0,144.0,7.0
7,1,1,8,90.0,8.0,0.0,18.0,1.0,485,0.0,90.0,0.0,8.0,0.9999999999999996,10.0,0.11111111111111116,-0.1333333333333333,10.0,0.11111111111111116,,,,2.7748873851023212,0.4898245767455478,10.0,0.11111111111111116,3.3333333333333335,80.0,0.8888888888888888,720.0,30.0,8.0,162.0,8.0
8,1,1,9,90.0,0.0,0.0,8.0,1.0,485,6.0,90.0,2.0,6.0,0.6666666666666665,9.0,0.09999999999999998,-0.20000000000000018,9.0,0.09999999999999998,,,,3.1144823004794873,0.27151359096699723,9.0,0.09999999999999998,3.0,81.0,0.9,810.0,30.0,8.0,170.0,9.0
9,1,1,10,90.0,6.0,2.0,6.0,1.0,485,2.0,90.0,0.0,32.0,1.393939393939394,8.181818181818187,0.09090909090909094,0.5272727272727269,8.181818181818187,0.09090909090909094,0.32727272727272716,8.181818181818187,0.09090909090909094,3.1937438845342623,0.3642234631305623,8.181818181818187,0.09090909090909094,3.272727272727273,81.81818181818181,0.9090909090909091,900.0,36.0,10.0,176.0,10.0
10,1,1,11,90.0,2.0,0.0,32.0,1.0,485,2.0,90.0,2.0,2.0,-0.5,7.5,0.08333333333333337,0.6333333333333333,7.5,0.08333333333333337,0.43333333333333357,7.5,0.08333333333333337,3.1937438845342623,0.26480125123616016,7.5,0.08333333333333337,3.1666666666666665,82.5,0.9166666666666666,990.0,38.0,10.0,208.0,11.0
11,1,1,12,90.0,2.0,2.0,2.0,1.0,485,2.0,90.0,2.0,40.0,0.2564102564102564,6.92307692307692,0.07692307692307687,0.523076923076923,6.92307692307692,0.07692307692307687,0.12307692307692308,6.92307692307692,0.07692307692307687,3.2863353450309964,0.184796428952128,6.92307692307692,0.07692307692307687,3.076923076923077,83.07692307692308,0.9230769230769231,1080.0,40.0,12.0,210.0,12.0
12,1,1,13,90.0,2.0,2.0,40.0,1.0,485,2.0,90.0,0.0,12.0,-1.0,6.428571428571431,0.0714285714285714,-0.6000000000000001,6.428571428571431,0.0714285714285714,-0.20000000000000018,6.428571428571431,0.0714285714285714,2.190890230020664,0.11944419322643851,6.428571428571431,0.0714285714285714,3.0,83.57142857142857,0.9285714285714286,1170.0,42.0,14.0,250.0,13.0
13,1,1,14,90.0,2.0,0.0,12.0,1.0,485,8.0,90.0,2.0,34.0,-0.9333333333333331,6.0,0.06666666666666665,-0.1333333333333333,6.0,0.06666666666666665,-0.1333333333333333,6.0,0.06666666666666665,1.788854381999831,0.06540671196653092,6.0,0.06666666666666665,2.933333333333333,84.0,0.9333333333333333,1260.0,44.0,14.0,262.0,14.0
